weapon,type,别名,外文名,相关型号,速度参数,范围参数,尺寸参数,质量参数,数量参数,级别参数,时间,国家,相关的人与机构,作用,现状,相关地点,特点,装备
美国XM25来福枪,步枪,,,,,最大射程:发射2300英尺(700米)远;,,,,,,所属国家:美国;,研制机构:美国;,,,,,
二式步枪,步枪,别名:二式小铳;,,,,,,,,,服役时间:1943年;定型时间:1940年;,国家:日本;,,,,,特点:可拆卸二段式步枪;,
俄罗斯SR3紧凑型突击步枪,步枪,,,,,,,,,,,生产国:俄罗斯;,,,,,,
范维克鲍2600式4.5mm气步枪,步枪,,英文名称:Feinwerkbau Model 2600 4.5mm Super Match Free Air Rifle;,,,,,,,,,国家:德国;,,用途:射击比赛;,,,,
安许茨1808ED式0.22in运动步枪,步枪,,,,,,,,,,,,生产厂商:德国安许茨有限公司;,,,,,
中国5.8mm自动步枪,步枪,,,,,,枪长:746mm;,枪重:3.25Kg;,,,,所属国家:中国;,,,,,,
匈牙利AMD-65式7.62毫米突击步枪,步枪,,外文名:AMD-65 7.62mm Assault Rifle;,,,,,,,,,,,用途:用火力杀伤有生目标;,现状:装备;,,,
小口径步枪,步枪,,外文名:Small Caliber Rifle;,,,,,,,,,,,,,,,
小口径现代步枪,步枪,,,,,,,,,,,,,,,,,
瑞士SIGSG550/551式5.56毫米突击步枪,步枪,,,,初速:920（米/秒）;,,全枪长:枪托折叠 772（毫米）;,,,,,,,,,,,
95式自动步枪[军事武器枪械],步枪,,,,,,,,,,,,,,,,,
SR—25半自动微声狙击步枪,步枪,,,,,,口径:7.62MM;,,,,,,,,,,,
AK-105突击步枪,步枪,"别称:CV AK, oppugnare sclopetis;",外文名:AK-105 assault rifles;,,弹头初速:840m/s;理论射速:650RPM;,,,空枪重:3.2公斤;,,,,国家:俄罗斯;,,用途:主要装备信号旗和阿尔法及部分其他的特种部队;,,,,
美国AAI近战突击武器系统,步枪,,,,,,,,,,,,研制单位:美国AAI公司;,用途:杀伤有生目标;,现状:研制;,,,
防暴枪,步枪,,外文名:Riot gun;,,,,,,,,,,使用者:保安押运、边防警察及特警;,用途:杀伤近距离目标，制服暴徒或驱散骚乱人群;,,,特点:作用可靠、使用方便;,
WK683-01防暴枪,步枪,,,,,,口径:817MM;,,,,,,,,,,,
10式狙击步枪,狙击步枪,,外文名:QBU-10;,,,,,,载弹量:5-10发;,,,,,,,,,
SSG69新型狙击步枪,狙击步枪,,,,,有效射程:800米;,"全枪长:1,140毫米;口径:7.62毫米;",全枪重:4.6千克;,弹匣容弹量:5发;,,生产年限:1969年;,,制造商:施泰尔-曼利夏有限公司;,,,,,
SVD狙击步枪,狙击步枪,简称:SVD;,英文名:SVD Sniper Rifle;,,弹头初速:828m/s;,有效射程:800m;,长度:12202mm;枪管长:620mm;口径:7.62mm;,,载弹量:10发;弹药:7.62*54mmR步枪弹;,,服役时间:1967年;研制时间:1963年;,国家:苏联;,,,,,,
W03型12.7毫米狙击步枪,狙击步枪,,,,,,全长:1392毫米;,重量:12．5千克;,,,,,,,,,,
XM109型大口径狙击步枪,狙击步枪,,,,,,全长:1448mm;,重量:约20.9千克;,,,,,,,,,,
AMR-212.7毫米大口径狙击步枪,狙击步枪,简称:AMR-2;,,,,,,,,,,,,,,,特点:便携式武器;,
M98,狙击步枪,,,,,,,,,,,国家:美国;,,用途:杀伤有生目标;,,,,
M90,狙击步枪,,外文名:Barrett Model 90;,,,,,,,,研发日期:1990年;,国家:美国;,设计师:朗尼.巴雷特;,,,,,
M700狙击步枪,狙击步枪,别称:美国现役狙击之魂;,外文名:Remington 700;,,,,,,,,研发日期:1962年;,国家:美国;,,,,,,
法国FR-F2式7.62毫米狙击步枪,狙击步枪,,,,初速:852米/秒;,,全枪长:1138毫米;枪管长:552毫米;,,,,,,,,,,,
大口径狙击步枪,狙击步枪,,,,,,,,,,,,,用途:主要用于打击高价值军事目标;,,,,
XMl0925mm反器材步枪,狙击步枪,,,,,,全枪长:1166毫米;枪管长:14千克;口径:25毫米;,,,,,,,,,,,
瑞士M3155式7.5mm狙击步枪,狙击步枪,,,,,,,,,,,,生产单位:瑞士伯尔尼武器工厂;,,现状:停产;,,,
日本97式狙击步枪,狙击步枪,,,,弹头初速:765 m/sec;,,全枪长:1275 mm;枪管长:797mm;口径:6.5mm;,空枪质量:3.95 kg;,,,,国家:日本;,,,,,特点:方便了使用桥夹装弹;,
瑞士SSG2000,狙击步枪,,,,,,,,容弹量:4发;,,,,生产单位:瑞士工业公司(SIG公司);,用途:在较远距离上杀伤单个有生目标;,现状:装备;,,,
SVD+M203,狙击步枪,,,,,,,,,,,,,,,,,
AW50反器材狙击步枪,狙击步枪,,,,,,,,,,,国家:英国;,,,,,,
AMPDSR-1狙击步枪,狙击步枪,,,,,,,,,,,国家:德国;,,用途:杀伤有生目标;,,,,
AIAWS狙击步枪,狙击步枪,,,,,,,空枪重:13.2 lb (6.kg);,弹匣容量:10 rds;,,,,,,,,,
AIAW50狙击步枪,狙击步枪,,,,,,,,,,,国家:美国;,,,,,,
AIAE狙击步枪,狙击步枪,,,,,,枪管长:610 mm;全长:1120 mm;,,弹匣容量:5 / 10 rds;,,,,,,,,,
AIAWM狙击步枪,狙击步枪,,,,,,,,,,,,,,,,,
中国97式狙击步枪,狙击步枪,,,,,,口径:5.56mm NATO;,,,,,国家:中国;,设计:无托设计;,,,,,
AIAWP狙击步枪,狙击步枪,,,,,,,,,,,,,,,,,
英国PM和隐藏式PM狙击步枪,狙击步枪,,,,,,,,,,,研制国别::英国;,研制机构::精密仪器制造公司;,,,,,
TAC-50,狙击步枪,,外文名:Long Range Sniper Weapon—LRSW;,,射速:850米/秒;,有效射程:2000;,口径:12.7;枪长:1448.0;,全重:11.8;,弹匣容量:5;,,研发日期:1980年;生产日期:1998年;,国家:美国;,,,,,,
tasco3-9*40瞄准镜,狙击步枪,,,,,,,,,,,,,,,,,
TPG-1狙击步枪,狙击步枪,,,,,,,,,,生产日期:2006年;,国家:澳大利亚、德国;,,,,,,
沙科TRG狙击步枪,狙击步枪,,外文名:Sako TRG-22/42;,,,,,,,,,国家:芬兰;,,,,,,
瑞士SSG3000式狙击步枪,狙击步枪,,外文名:瑞士SSG3000式狙击步枪;,,,,,,,,生产时间:1984年;,产地:德国;,,,,,,
PSG狙击枪,狙击步枪,,外文名称:Prazisions SharfschutzenGewehr;,,,,,重量:8kg;,,,,,,,,,,
瑞士SG550狙击步枪,狙击步枪,,外文名:无;,,,,全枪高:： 285mm;,,,,时间:1988年;,,,,,,,
莫辛纳甘M91-30狙击步枪,狙击步枪,,外文名:Мосин-Наган;,,,,,,,,,原产国:苏联;,,,,,,
美国巴雷特M90狙击步枪,狙击步枪,,,,,,全长:1143mm;口径:12.7mm;,枪重:9.98kg;,弹匣容量:5rds;,,,,,,,,,
美国MK12狙击步枪,狙击步枪,,,设计原型:AR15自动步枪;,,,全枪长:1003 mm;枪管长:510 mm;口径:5.56mm;,空枪质量:4.47 kg;,,,,原产国:美国;,,,,,,
美国XM109狙击步枪,狙击步枪,,,,,,,重量:20.9kg;,,,,,,,,,,
德国BASR狙击步枪,狙击步枪,,,,,,,,,,,产地:德国;,,,,,属性:步枪;,
德国MSG3狙击步枪,狙击步枪,,,,,,口径:7.62×51mm;,空枪重量:4.95kg;,,,,,,,,,,
德拉贡诺夫及他的狙击步枪,狙击步枪,,,,,,,,,,,,,,,,,
黄金AWM,狙击步枪,别名:黄金狙，金狙;,外文名:AWM-Gold;,,,,,,,,,,,,,,,
美制XM109大口径狙击步枪,狙击步枪,,,,,,口径:大;,,,,,国家:美国;,,用途:狙击;,,,属性:步枪;,
M110狙击步枪,狙击步枪,,外文名:M110 Semi-Automatic Sniper System;,次型/级:M110A2 M-LOK狙击步枪;前型/级:AR10半自动步枪;,,,口径:7.62毫米;,,,,服役时间:2007年4月;定型时间:2006年5月;研发日期:2004年;,国家:美国;,,,,,,
美国M21狙击步枪,狙击步枪,,,,,,,枪重:5.11kg;,,,,,,,,,,
美国M40A3狙击步枪,狙击步枪,,,,,,,,,,,,,,,,,
美国M99狙击步枪,狙击步枪,,外文名:barrett M99;,,,,全枪长:1447.8 mm(57 in);枪管长:736.7 mm(29 in);,,,,,国家:美国;,,,,,,
比利时FN30-11式狙击步枪,狙击步枪,,,,,,,,,,,,,用途:在远距离上杀伤有生目标;,现状:装备;,,,
巴雷特XM-109型穿甲狙击步枪,狙击步枪,,,,,,枪管长:17.6英寸;全长:46英寸;,重量:46磅;,,,,,,,,,,
奥地利SSG04狙击步枪,狙击步枪,,,,,,口径:7.62 毫米(mm);,全枪质量:4.6 千克(kg) *含弹匣;,,,,,,,,,,
巴雷特M98狙击步枪,狙击步枪,,外文名:barrett M98;,,,,,枪重:7 kg;,,,,,,,,,,
L115A3狙击枪,狙击步枪,,,,,,口径:0.338英寸;,空枪质量:6.8kg;,,,,国家:英国;,,,,,,
望远式瞄准镜,狙击步枪,别名:狙击镜;,外文名:telescopic sight;,,,,,,,,,,,,,,,
VSSK微声狙击步枪,狙击步枪,,外文名:Vintovka Snayperskaya Spetsialnaya Krupnokalibernaya;,,,,,,,,,,开发者:俄罗斯仪器设计局（KBP）;,,,,性质:特种武器;,
TRG-42,狙击步枪,,外文名:Sako TRG;,,,,,,,,,,,用途:军警民多用;,,,,
Tactical2狙击步枪,狙击步枪,,,,,,口径:7.62mm;,,,,,,,,,,,
QBU-10式狙击步枪,狙击步枪,,,,,有效射程:1500米;最大射程:2000米;,,总重:13公斤;,,,,,,,,,,
RemingtonMSR狙击步枪,狙击步枪,,外文名:Remington MSR Sniper Rifle;,,,,口径:308/.300/.338英寸;,,,,,国家:美国;,,,,,,
RSASS,狙击步枪,,外文名:Remington R11 RSASS;,,,,,,,,,,,,,,,
SV-99微声狙击步枪,狙击步枪,,,,,,,,,,,,,,,,特点:小口径、轻型、近距离;,
SR-93狙击步枪,狙击步枪,,,,,,全枪长:1230 mm ;枪管长:690 mm;,,,,,,,,,,,
SR-100狙击步枪,狙击步枪,,,,,,全枪长:1260 1360 mm 1360 mm;枪管长:650 mm 750 mm 750 mm;,,,,,所属国家:德国;,,,,,,
V-22 “鱼鹰”,狙击步枪,,,,最大飞行速度:509千米每小时;飞行速度:亚音速;,"最大航程:3,890千米;",机高:6.63米;机长:17.48米;旋翼直径:11.58米;,"空重:15,032千克;最大起飞重量:25,855千克;",乘员:27人;,,首飞时间:1989年3月19日;,,研发单位:美国贝尔公司和波音公司;,,,,,气动布局:倾转旋翼;发动机:两台罗-罗／阿里逊T406-AD-400发动机;发动机数量:双发;
M-76半自动狙击步枪,狙击步枪,,,,,,口径:7.92x57mm毛瑟;,,子弹:12.8克的sS重尖弹;,,,国家:南斯拉夫;,,,,,,
M99[国产大口径狙击步枪],狙击步枪,,,,,,口径:12.7;,,,,,国家:中国;,,,,,特点:精度高、射程远、重量轻;,
帕克-黑尔M82式狙击步枪,狙击步枪,,,,,,,,,,,,,,,,,
PSL狙击步枪,狙击步枪,,,,,,,,,,,,,,,,,
M24阻击枪,狙击步枪,别名:武器系统;简称:M24 SWS;,外文名:Sniper Weapon System;,,,有效射程:800米;,"全枪长:1,092毫米;口径:7.62mm;",全枪重:5.5千克;,容弹量:10发;,,生产年限:1988年;,原产国:美国;,制造商:雷明登武器公司;,,,,,
巴雷特公司,狙击步枪,,外文名:Ronnie Barrett;,,,,,,,,创建时间:1981年1月;,,,,,,,
MSG-90狙击步枪,狙击步枪,,,,,,口径:7.62mm;,,,,,,生产单位:德国赫克勒－科赫有限公司;,,现状:生产;,,,
m2000,狙击步枪,,外文名:iManager M2000移;,,,,,,,,,,,,,,,
M82A1大口径半自动狙击步枪,狙击步枪,,,次型/级:TAC-50狙击步枪;前型/级:SR-25狙击步枪;,,,,,,,,国家:美国;,设计师:朗尼·巴雷特;,,,,,
LSR-50半自动反器材步枪,狙击步枪,,,,,,枪长:991mm;口径:12.7;,全枪质量:7.7公斤;,弹匣容量:10发;,,,原产国:瑞典;,生产商:瑞典萨博防卫工业公司;,,,,,
M40A3式7.62MM狙击步枪,狙击步枪,,,,,,,空枪重:7.5kg;,容弹量:5;,,,,,,,,,
狂暴蒸汽,狙击步枪,,,,,,,重量:67%;,,,,,,,,,,
LR-2A大口径狙击步枪,狙击步枪,,,,,,,,,,,,,,,,特点:后坐力小;,
雷明登MSR狙击步枪,狙击步枪,,外文名:Remington MSR;,,,,,,,,,,研制单位:美国雷明登军品分公司;,,,,,
HK33SG1狙击步枪,狙击步枪,,,,枪口初速:920 m/s;,,,空枪重:4.84 kg;,,,,,,,,,,
js12.7狙击步枪,狙击步枪,,,,,有效射程:1500m;,枪长:1392 mm;,枪重:12.5 kg;,,,,,,,,,,
芬兰之星[TRG-42狙击步枪的别称],狙击步枪,,外文名:Sako TRG;,,,,,,,,,,,用途:军警民多用;,,,,
国产JS12.7mm大口径狙击步枪,狙击步枪,,,,,,口径:12.7mm;,空枪质量:12.5kg;,,,,原产国:中国;,生产商:中国兵器工业集团建设厂;,,,,,
FR-F2狙击枪,狙击步枪,,,,,,子弹直径:7.62mm;枪管长:552mm;,,,,,国家:法国;,,,,,特点:射击精度很高;,
德国Kar98K毛瑟狙击步枪,狙击步枪,简称:Gew.98;,,,,,口径:7.92毫米;,,,,,原产国:德国;,,,,,,
俄军狙击战术,狙击步枪,,,,,,,,,,,,,,,,,
CheyTac,狙击步枪,,外文名:CheyTac、Cheyenne Tactical L.L.C;,,,,,,,,创建时间:2000年;,,,,,创建地点:美国;,,
巴雷特M90狙击步枪,狙击步枪,,外文名:Barrett M90;,,,,,,,,研发日期:1990年;生产日期:1990年;,国家:美国;,设计师:巴雷特;,,,,,
巴雷特M82A1/A2式和M90式12.7mm狙击步枪,狙击步枪,,外文名:Barrett;,,,,,,,,,研制国家:美国产品;,生产单位:研制单位美国巴雷特火器制造公司;,用途:目标和对付爆炸物及器材装备;,US现状:杀伤远距离上有生生产;,,,
巴雷特MRAD狙击步枪,狙击步枪,,英文名称:Barrett MRAD;,,"枪口初速:944.85米/秒（3,100英尺/秒）;","最大射程:1,500米（921.26英尺）;",口径:8.59 毫米（338英吋）;,,,,定型时间:2010年;,国家:美国;,研发单位:美国巴雷特;,,,,,
awm[一种军用栓动狙击枪],狙击步枪,别称:AWM、L115A1;,外文名:Magnum;,,,,,,,,,,,用途:军事狙击;,,,,
RQ-3“暗星”,狙击步枪,,,,最大飞行速度:464千米每小时;飞行速度:亚音速;,最大航程:925千米;,机高:1.1米;翼展:21.03米;机长:4.57米;,"空重:1,980千克;最大起飞重量:3,901千克;",,,首飞时间:1996年3月29日;,,研发单位:洛克希德-马丁公司和波音飞机公司;,,,,,气动布局:平直翼;发动机:成廉姆斯FJ44-1发动机;发动机数量:单发;
美国佩里格林50/12式12.7mm狙击步枪,狙击步枪,,,,,,,,,,研制时间:1989;,研制国别:美国;,研制机构:佩里格林工业公司;,,,,,
M4A1-雷神,骑枪/卡宾枪,,外文名:M4A1-Transfromer;,枪械原型:M4A1卡宾枪;,,,,,,所属级别:英雄级武器/永久武器;,,,,,,,,
半自动卡宾枪试验型,骑枪/卡宾枪,,,,,,,,,,,,,,,,,
HK94卡宾枪,骑枪/卡宾枪,,,,,,枪管长:16.54英寸(420mm);,,,,,,所属:HK公司;,,,,,
西蒙洛夫半自动卡宾枪,骑枪/卡宾枪,,,,,,,,,,,原产国:苏联;,研发者:西蒙洛夫;,,,,,
SK型半自动卡宾枪3号试验型,骑枪/卡宾枪,,,前型:试验型半自动卡宾枪;,,,,,,,,,,,,,,
M4卡宾枪,骑枪/卡宾枪,,英文名:COLT M4 CAL 5.56mm;,设计原型:AR15;,理论射速:700-1000发/分;,有效射程:600米;,长度:840毫米;枪管长:368.3毫米;口径:5.56毫米;,重量:2.5kg;,载弹量:30发;,,服役时间:1994;研制时间:1984年;,国家:美国;,设计师:尤金·斯通纳;,,,,,
微声冲锋枪,冲锋枪,,,,,,口径:9毫米;,,,,,,,用途:跨兵种的武器装备;,,,特点:性能独特，结构可靠;属性:95枪族;,
05式微声冲锋枪,冲锋枪,,外文名:QCW-05;,,,,全枪长:500毫米;,,,,定型时间:2005年初;,国家:中国;,,,,,,
俄罗斯PP-2000冲锋枪,冲锋枪,,,型号:PP-2000;,弹头初速:335 m/s;,,口径:　9×19mm 7N31 / Para;,,,,,国家:俄罗斯;,,,,,,
MP5冲锋枪系列,冲锋枪,,外文名:Machine Pistol 5 (MP5);,,,,,,,,,国家:德国;,,用途:杀伤有生目标;,,,,
MP5N冲锋枪,冲锋枪,,外文名:Heckler & Koch MP5 Submachine gun;德文名:HK MP5 Maschine;,,枪口初速:400 米秒（1312 尺秒）;发射速率:800发;,,口径:9 × 19毫米帕拉贝鲁姆手枪弹;,,,,研发日期:1954年;生产日期:1966年;,国家:德国;,研发单位:黑克勒-科赫（Heckler Koch）;,,,,,
50式冲锋枪,冲锋枪,,,,,,全枪长:840毫米;,,弹匣容量:35发;产量:当年生产3.6万支装备部队;,,,,,,,,,
MI冲锋枪,冲锋枪,,外文名:TOMPSEN M1A1;,,,,,,,,,原产国:美国;,生产单位:美国自动武器公司;,用途:杀伤近距离内有生目标;,现状:停产;,,,
K-1A冲锋枪,冲锋枪,,,型号:K-1A;,,,,,,,,,,,,,,
HKMP5SD2式和SD3式9mm微声冲锋枪,冲锋枪,,,,,,,,,,研发日期:1975年;,国家:德国;,,,,,,
HKMP5A2式MP5A3式9mm冲锋枪,冲锋枪,,外文名:HKMP5A Series of 9mm Submachine Gun;,,,,,,,,,国家:德国;,,用途:杀伤有生目标;,,,,
中国82式9毫米冲锋枪,冲锋枪,,,,,,枪管长:150毫米;口径:9毫米;,,,,,,,,,,,
中国56-2式冲锋枪,冲锋枪,,,,,,口径:7.62×39mm;,,,,,,,,,,,
中国56-1式冲锋枪,冲锋枪,,,前型/级:AK-47自动步枪;,,,,,,,服役时间:1956年;研制时间:1956年;,国家:中国;,,,,,,
79式冲锋枪[军事武器枪械],冲锋枪,,外文名:Type 79 Submachine Gun;,,,,,,,,定型时间:1979年;研发日期:1979年;生产日期:1983年;,国家:中国;,,,,,,
PPSh41冲锋枪[军事武器枪械],冲锋枪,,,,,,,,,,,,,,,,,
PP-90折叠式冲锋枪[军事武器枪械],冲锋枪,,外文名:ПП-90;,,射速:600-800rpm;,有效射程:50m;,全长:490mm（展开后）;,重量:1.83kg（空枪）;,弹匣容量:30rds;,,,,,,,,,
P90TR冲锋枪,冲锋枪,,,,战斗射速:900发/分;,有效射程:150米;,全枪长:500毫米;口径:5.7毫米;,全枪重:3.1千克;,弹匣容弹量:50发;,,,,,,,,,
PPS-42冲锋枪,冲锋枪,,,,枪口初速:500米/秒;,,全枪长:820毫米;口径:7.62毫米;,,,,,国家:苏联;,,,,,特点:加工简单，操作方便;,
PPD-40,冲锋枪,,外文名:Pistolet-Pulemyot Degtyaryova;,,,,,,,,,原产国:苏联;,,,,,,
PM-06冲锋枪,冲锋枪,,,型号:PM-06;,,,全枪长:605mm;,,,,,,,,,,,
PP90折叠式冲锋枪,冲锋枪,,外文名:ПП-90;,,弹头初速:320m/s;,有效射程:50m;,全长:490mm（展开后）;,重量:1.83kg（空枪）;,弹匣容量:30rds;,,,,,,,,,
前南斯拉夫M56式7.62MM冲锋枪,冲锋枪,,外文名:M567.62mmSubmachineGun;,,,,,,,,,,,,,,,
前捷克斯洛伐克M23式冲锋枪,冲锋枪,,,,,,,,,,,,设计师:弗兰蒂斯克·霍莱;,,,,特点:双保险式冲锋枪;,
前捷克斯洛伐克M24式冲锋枪,冲锋枪,,外文名:　Ｚｂｒｏｊｏｖｋａ Ｂｒｎｏ Ｐｌａｎｔ，ＣＳ(Ｆｏｒｍｅｒ）;,,,,,,,,,,,用途:杀伤200m内有生目标;,现状:停产;,,,
前捷克斯洛伐克M25式冲锋枪,冲锋枪,,,,,,,,,,,,设计者:瓦茨拉夫·霍莱克;生产单位:前捷克斯洛伐克国营布尔诺兵工厂;,,,,,
前捷克斯洛伐克M26式冲锋枪,冲锋枪,,,,,,,,,,装备时间:1952年;撤装时间:60年代初;,,,,,,,
前苏联AKSU-74式5.45MM冲锋枪,冲锋枪,,外文名:5.45mmПистолет-п улемётАКСУ-74;,,,,,,,,,,所属:前苏联;,用途:杀伤250m内有生目标;,,,,
前苏联PPS-43式7.62mm冲锋枪[军事武器枪械],冲锋枪,,外文名:7.62mmПистолет-Пул емётППС-43;,,,,,,"数量:1,000,000;",,生产年限:1943年-1945年;,,,用途:杀伤200m内有生目标;,现状:停产;,,,
前苏联PPSH-41式7.62MM冲锋枪,冲锋枪,,外文名称:Пистолет-пулемёт Шпагина（俄语）;,,,有效射程:200m;,,,弹容量:71发（弹鼓）/35发（弹匣）;,,,所属国家:苏联;,设计师:斯帕金;,,,,,
斯特林冲锋枪,冲锋枪,,,,战斗射速:550发/分;,有效射程:100米;,全枪长:710毫米;口径:9毫米;,全枪重:2.7千克;,弹匣容弹量:32发;,,生产年限:1953年-1988年;,,制造商:英国斯特林军备公司（Sterling Armament Company）;,,,,,
斯太尔MP34冲锋枪,冲锋枪,,,,,,,,,,,,,,,,,
石普卡冲锋枪,冲锋枪,,,,战斗射速:700发/分;,有效射程:150米;,长:338mm;口径:9毫米;,重:2.2kg;,弹匣容弹量:32发;,,,,,,,,,
三七式冲锋枪,冲锋枪,,,,,,枪全长:为757mm;,枪全重:为3.54kg;,,,,,,,,,,
SR-2“维列斯克”冲锋枪,冲锋枪,,,,,有效射程:200 m;,,空枪重:1.65 kg;,弹匣容量:20 / 30 rds;,,,,,,,,,
Sa23系列冲锋枪,冲锋枪,,,,,,,,,,,,,,,,,
施泰尔TMP战术冲锋手枪,冲锋枪,,,,,,全长:282 毫米(mm);口径:9 毫米(mm);,,,,推出时间:1992年;,,,,,,,
TEC-9冲锋枪,冲锋枪,,,,初速:360m/s;射速:650RPM;,,口径:9毫米;,质量:1.4千克;,产量:约25万;,,服役时间:1985-2001;,国家:瑞典;,,,,,,
新式Vepr无托步枪,冲锋枪,,,,射速:为600~650发/分;,,枪全长:702毫米;,,弹匣容量:30发;,,,,,,,,,
匈牙利KGP-9冲锋枪,冲锋枪,,,,射速:900发/分;,有效射程:100米;,全枪长:615毫米;口径:9毫米;,全枪重:2.75千克;,容弹量:25发;,,生产年限:1987年-1995年;,所属国家:匈牙利;,制造商:匈牙利武器和机械厂;,,,,,
越南K-50M式7.62mm冲锋枪,冲锋枪,,,,理论射速:700～900rds/min;,,口径:7.62 mm;,重量:3.4 千克;,,,,,,,,,,
中国外贸CF05式螺旋弹筒冲锋枪,冲锋枪,,,,,,,,,,,产地:中国;,,,,,特点:命中精度好;,
中国7.62mm5O式冲锋枪,冲锋枪,,,,,,,,,,研制时间:1950年;,国家:中国;,,,,,,
Z-84冲锋枪,冲锋枪,,,,,,,,,,研制时间:1970年代未;定型时间:1980年代中;,国家:西班牙;,,,,,,
奥地利施泰尔MPI69式9MM冲锋枪,冲锋枪,,外文名:Ｓｔｅｙｒ ＭＰｉ６９ａｎｄ ＭＰｉ８１９ｍｍＳｕｂmａｃｈｉｎｅＧｕｎｓ;,,,,,,,,,,研制单位:奥地利施泰尔-曼利夏有限公司;,用途:主要杀伤近距离内有生目标;,,,,
阿根廷哈尔孔M1943式11.43MM冲锋枪,冲锋枪,,,,战斗射速:700 发/分;,,口径:11.43 毫米(mm);,,,,,,,,,,,
阿根廷哈尔孔M1946式11.43MM冲锋枪,冲锋枪,别称:航空型冲锋枪;,,,,,,,,,生产时间:第二次世界大战期间和战后不久;,,,,,,,
AEK-918式冲锋枪,冲锋枪,,,,,,枪弹尺寸:9×19mm;,,容弹量:30;,,,,,,,,,
AEK-918Г式冲锋枪,冲锋枪,,,,,,,,,,,,,,,,,
APC冲锋枪,冲锋枪,,英文名称:Brügger & Thomet APC;,,,,,,,,,,,,,地点:瑞士图恩;,,
b32,冲锋枪,,外文名称:Heckler & Koch MP5Submachine gun;德文名:HK MP5Maschinenpistole;,,枪口初速:400 米/秒（1312 尺/秒）;发射速率:800 发/分;,,口径:9 × 19毫米帕拉贝鲁姆手枪弹;,,,,服役时间:1966年–现在;研制时间:1954~1963年;,所属国家:德国;,生产商:黑克勒-科赫;设计单位:黑克勒-科赫（Heckler & Koch）;,,,,,
ColtCommando冲锋枪,冲锋枪,,,,,,,,,,服役时间:1960年代;,,,用途:杀伤有生目标;,,,,
德国MP38式9MM冲锋枪,冲锋枪,,,,,,,,,,生产:德国埃尔马兵工厂;时间:1938年;,,,,,,,
德国瓦尔特MP-K9MM冲锋枪,冲锋枪,,,,,,,,,,,,制造商:德国卡尔·瓦尔特武器制造厂;,用途:杀伤100m内有生目标;,现状:停产;,,,
德国瓦尔特MP-L冲锋枪,冲锋枪,别名:瓦尔特MP-L和MP-K9mm冲锋枪;,外文名:Walther MP－L and MP－K9mmSubmachine Guns;,,,,,,,,,,研制单位:德国卡尔·瓦尔特武器制造厂;,用途:杀伤100m内有生目标;,现状:停产;,,,
DS9A冲锋枪,冲锋枪,,,,战斗射速:980发/分;,有效射程:150米;,全枪长:680毫米;口径:9毫米;,全枪重:2.9千克;,弹匣容弹量:30发;,,生产年限:2003年;,,制造商:韩国大宇集团;,,,,,
德国沃尔特MP-K冲锋枪,冲锋枪,,,,,,口径:9mm;全长:368/653mm;,重量:2800kg;,,,,,,,,,,
俄罗斯PP-90M式9MM冲锋枪,冲锋枪,,,,射速:500RPM;,,,,弹匣容量:盒形 32 rds;,,,,,,,,,
俄罗斯基帕里斯9MM冲锋枪,冲锋枪,,外文名:9mmПистoлет-пулем ёт“КИПАРИС”;,,,,,,,,,,,用途:杀伤近距离内的有生目标;,现状:生产;,,,
俄罗斯勇士冲锋枪,冲锋枪,,,,,,,,,,生产日期:1965年;,国家:俄罗斯;,,,,,,
俄罗斯PP-93冲锋枪,冲锋枪,,,,,,,,,,时间:1993年;,,研制:图拉兵工厂;,,,,,
F1冲锋枪,冲锋枪,,,,战斗射速:600发/分;,有效射程:200米;,全枪长:715毫米;口径:9毫米;,全枪重:3.3千克;,弹匣容弹量:34发;,,生产年限:1963年-1987年;,,制造商:利思戈轻武器工厂;,,,,,
FMG9折叠冲锋枪[军事武器枪械],冲锋枪,,,,射速:1034发/分钟;,,,,弹药量:36/108/288;,,,,,,,,,
FMK-3式9mm冲锋枪,冲锋枪,,,,,,,,,,生产时间:1986年5月;,研制国:阿根廷;,,,,,,
国产JS9毫米冲锋枪,冲锋枪,,,,,有效射程:150米;,口径:9mm;,,,,,,,,,,,
HK54A1冲锋枪,冲锋枪,,,,理论射速:1000RPM;,,枪管长:203mm;口径:9x19mm;,重量:轻;枪空重:2.27kg;,,,时间:1980年4月;,,,,,,,
HK—MP7A1冲锋枪,冲锋枪,,,,,,,,,,,,开发商:德国HK公司;,,,,特点:小巧、轻便;,
捷克LAD冲锋枪,冲锋枪,,,,,,口径:5.56×45 mm NATO;,,容弹量:30/75 rds;,,,国家:捷克;,,,,,,
KBP-PP2000,冲锋枪,,,,,,,,,,,,设计师:戈里亚捷夫院士和什浦诺夫教授;,,,,特点:新奇的外观和可观的威力;,
瞄准装置,冲锋枪,,,,,,,,,,,,,作用:提高轻武器作战能力;,,,性质:装置;,
MGP-15式9MM冲锋枪,冲锋枪,,,,,,,,,,,,生产单位:秘鲁西玛瑟法尔公司;,,,,,
秘鲁MGP-79A式9MM冲锋枪,冲锋枪,,,,,,,,,,,国别:秘鲁;,,用途:杀伤200m距离内有生目标;,,,,
秘鲁MGP-84A式9MM冲锋枪,冲锋枪,,,,,,,,,,,,生产单位:秘鲁西玛瑟法尔公司;,用途:杀伤近距离内有生目标;,,,,
