weapon,别名,时间,国家,特点,作用
RPG-7火箭筒,无,50年代研制能发射超,苏联,"而且射程近喷火焰大、只能右肩射击，苏联研制了RPG-7式40mm火箭筒,能发射超口径火箭弹",暂无介绍
巴祖卡60mm火箭筒,无,暂无介绍,未知,暂无介绍,暂无介绍
俄罗斯RPG-7D1式火箭筒,无,暂无介绍,俄罗斯,暂无介绍,通常一个士兵可携带2具，各兵种均可使用，尤其适用于快速突击分队、摩步兵和空降部队
俄罗斯塔沃尔加RPG-27式105mm火箭筒,无,暂无介绍,俄罗斯,暂无介绍,塔沃尔加РПГ－27式火箭筒是俄罗斯研制的一种单发型反坦克武器，用于发射105mm破甲火箭弹，可对付坦克、步兵战车、装甲人员输送车、自行火炮和其他装甲目标
法国阿尔帕克72mm火箭筒,无,1976年生产,法国,暂无介绍,暂无介绍
M-55式55MM火箭筒,无,暂无介绍,芬兰,暂无介绍,暂无介绍
PF98火箭筒,无,暂无介绍,中国,暂无介绍,暂无介绍
RPG-29,无,暂无介绍,苏联,该火箭筒采用折叠式机械瞄准具和1P38式光学瞄准镜（放大倍率2.7倍），火箭发动机采用毛刷式装药结构和弹性固药技术,暂无介绍
瑞典AT-12T式120mm火箭筒,无,暂无介绍,瑞典,暂无介绍,暂无介绍
RPG党,无,暂无介绍,未知,暂无介绍,暂无介绍
RPO-A式93ｍｍ火箭筒,无,70年代,苏联,暂无介绍,主要用于摧毁掩体、野战工事、城镇壁垒、军事器材、轻型装甲车和暴露的有生目标，通常一个士兵可携带2具，各兵种均可使用，尤其适用于快速突击分队、摩步兵和空降部队
RPG-18式64mm火箭筒,无,暂无介绍,苏联,暂无介绍,РПГ-18式64mm火箭筒是前苏联于70年代末研制的，是一种不占编制的一次性使用的反坦克武器，用于攻击装甲车辆、军事器材和野战工事等目标，该火箭筒于70年代末开始装备苏联摩托化步兵、空降部队和其他华约国家部队，并用于阿富汗战场
GBP-130型单兵掩体爆破器,无,暂无介绍,未知,暂无介绍,暂无介绍
战壕爆破弹OZ-1,无,暂无介绍,未知,暂无介绍,暂无介绍
RPV-16温压火箭发射器,无,2017年展示,乌克兰,RPV-16的口径与旧的苏联RPO-A Shmel相同，其结果是异常高热能和速度的爆炸(即产生巨大的热量和压力),尽管如此，它仍然适用于许多传统上需要喷火器的任务，这种武器用于清除建筑物、掩体、碉堡、各种野战工事和战壕
RG-60TB型温压手榴弹,无,暂无介绍,未知,弹体外壳直接采用RGD-5手榴弹，整体重量不到350克,暂无介绍
F-1式手榴弹,柠檬手榴弹,暂无介绍,苏联,F-1手榴弹采用铸铁弹体,暂无介绍
OD/82式手榴弹,无,2006年10月9日,未知,暂无介绍,暂无介绍
67式木柄手榴弹,无,1967年完成,未知,暂无介绍,暂无介绍
铅弹,无,暂无介绍,英国,暂无介绍,铅弹，由铅溶液铸成的圆形弹药，最早是由中世纪龙骑兵（火枪骑兵）使用的弹药，后来燧发枪、来复枪出现后逐渐淘汰，也曾被应用于散弹枪的内装物；达姆弹就是一种铅弹的改造型弹药，是由英国人最先制造的
SS-607式手持发射信号火箭,无,暂无介绍,未知,暂无介绍,暂无介绍
意大利STA-RIP手持发射伞式照明火箭,无,暂无介绍,意大利,ＩＴ现状:生产用途:通信联络或临时照明结构特点：ＳＴＡ－ＲＩＰ／１００式照明火箭发光时间长,意大利斯塔奇尼公司研制生产的ＳＴＡ－ＲＩＰ／１００伞式照明火箭，是一种普通的手持发射火箭，可供军、警部队用于战场临时照明或发射通信联络信号， 产品名称:ＳＴＡ－ＲＩＰ／１００手持发射伞式照明火箭ＳＴＡ－ＲＩＰ／１００Ｈａｎｄ－ｈｅｌｄＰａｒａｃｈｕｔｅＩｌｌｕｍｉｎａｔｉｎｇＲｏｃｋｅｔ生产单位:意大利斯塔奇尼公司ＳｔａｃｃｈｉｎｉＳｕｄＳｐＡ，ＩＴ现状:生产用途:通信联络或临时照明结构特点：ＳＴＡ－ＲＩＰ／１００式照明火箭发光时间长，发光强度高，射高大，尺寸小、质量小
意大利STA手持发射伞式照明火箭,无,暂无介绍,意大利,暂无介绍,暂无介绍
IM26手雷,无,暂无介绍,以色列,暂无介绍,暂无介绍
M700P,无,暂无介绍,未知,采用加厚的浮动枪管进一步改善了精度，因为全枪的重量增加,暂无介绍
锥形装药,无,暂无介绍,未知,暂无介绍, 在距离装甲一定距离时，装药引爆，漏斗状金属壳体受挤压变形，并在高温高压作用下聚焦形成一条高速金属射流，使得热能集中于一点此以穿透装甲
泡沫弹,无,暂无介绍,未知,暂无介绍,暂无介绍
Panzerwurfmine反坦克碰炸手榴弹,无,暂无介绍,德国,暂无介绍,主要区别在于PWM的尾部多了用于稳定的飘带，后期型还加装了稳定翼
比利时37毫米伸缩式杀伤枪榴弹,无,1978年定型,未知,从性能上为大幅度减轻弹重、缩小体积、提高初速、增大射程开辟了新的途径，最大射程300(400)米,暂无介绍
M809式橡胶头催泪枪榴弹,无,暂无介绍,未知,暂无介绍,暂无介绍
HPD3防坦克地雷,无,暂无介绍,未知,具有灵敏度高，火力猛等特点,暂无介绍
M7A2防坦克地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
MAT-76防坦克地雷,无,暂无介绍,罗马尼亚,暂无介绍,暂无介绍
MI101防坦克地雷,无,暂无介绍,瑞典,该雷所采用的炸药是TNT或Hexotol或RDX/TNT,暂无介绍
MN-121防坦克地雷,无,暂无介绍,波兰,暂无介绍,暂无介绍
NR-25防坦克地雷,称：NR-25,暂无介绍,未知,暂无介绍,NR-25防坦克地雷 【概述】:NR-25防坦克地雷是一种反坦克履带地雷，用于破坏重型坦克履带和行走机构，钢壳，内装 称：NR-25防坦克地雷产品原名称：NR-25
NR26防坦克地雷,无,暂无介绍,未知,暂无介绍,NR26防坦克地雷是一种普通的压发式防坦克地雷，当压力作用于地雷的压板时，压板破碎，引信动作，引爆地雷
NR30防坦克地雷,无,暂无介绍,法国,暂无介绍,暂无介绍
PRB408防坦克地雷,无,暂无介绍,未知,PRB 408防坦克地雷采用聚乙烯雷壳,暂无介绍
PRBM3防坦克地雷,无,暂无介绍,未知,采用聚乙烯塑料雷壳,暂无介绍
PTM-80P防坦克地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
SB-MV防坦克地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
SBP-07防坦克地雷,称：SBP-07,暂无介绍,未知,暂无介绍,暂无介绍
TMA-5防坦克地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
TMRP-6防坦克地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
UKA-63多用途防坦克地雷,无,暂无介绍,未知,暂无介绍,UKA-63多用途防坦克地雷 【概述】:UKA-63防坦克地雷是一种多用途防坦克地雷，空心装药，金属雷壳，配用压发引信或触杆引信，雷底有一引信室供装诡计装置用， 称：UKA-63多用途防坦克地雷
VTMA-4防坦克训练雷,无,暂无介绍,未知,VTMA-4防坦克训练雷 【概述】:该雷是为了使士兵更加了解TMA-4防坦克地雷的构造和特点而设计的一种训练雷，它和真雷具有相同的形状和尺寸,暂无介绍
VTMM-1防坦克训练雷,无,暂无介绍,未知,VTMM-1防坦克训练雷 【概述】:该雷是为了使士兵更加了解TMM-1防坦克地雷的构造和特点而设计的一种训练雷，它和真雷具有相同的形状和尺寸,暂无介绍
DM-31防步兵跳雷,无,暂无介绍,德国,暂无介绍,暂无介绍
M432防步兵跳雷,无,暂无介绍,未知,暂无介绍,暂无介绍
DYNAMINE防步兵地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
LORY防步兵地雷,无,暂无介绍,意大利,该雷的气压引信对超压和地面冲击具有耐爆作用，对地面冲击具有耐爆作用是非常重要的,LORY防步兵地雷，是意大利一种多用途的、可抛撒的、不可探测的爆破型防步兵地雷，该雷可在地上、低空飞行的飞机上、运动中的车辆上手工撒布，该雷的气压引信对超压和地面冲击具有耐爆作用，对地面冲击具有耐爆作用是非常重要的，特别是当拿在手中撒布而地雷没有使用延时保险装置时
M14防步兵地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
M62防步兵地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
MAI-GR1防步兵地雷,无,暂无介绍,罗马尼亚,暂无介绍, 该雷既可人工布设，也可利用装有地雷撒 当压力作用于地雷的顶部时，地雷动作
MIAPMB5155防步兵地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
MRUD防步兵地雷,无,暂无介绍,未知,暂无介绍,MRUD防步兵地雷是一种定向破片雷，主要用于攻击步兵，造成强大伤害力
MS-3防步兵地雷,无,暂无介绍,俄罗斯,暂无介绍,暂无介绍
MUSPA防步兵地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
NR22C1防步兵地雷,无,暂无介绍,法国,暂无介绍,暂无介绍
P-25防步兵地雷,无,暂无介绍,未知,具有较好的防水性能,暂无介绍
P59防步兵地雷,杀伤地雷,暂无介绍,未知,它一般采用压发引信,防步兵地雷又称杀伤地雷，是一种埋设于地下或布设于地面，通过目标作用或人为操纵起爆的一种对付软目标的爆炸性武器，反步兵地雷专门用来杀伤人员、马匹等有生力量，其杀伤作用主要是靠冲击波和破片来完成
PMA-3防步兵地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
PRBBACH-28防步兵地雷,无,暂无介绍,比利时,暂无介绍,暂无介绍
PRBM35防步兵地雷,无,暂无介绍,未知,在引信柔软的顶部中心具有一压力活塞,暂无介绍
TS-50可撒布防步兵地雷,无,暂无介绍,埃及,暂无介绍,暂无介绍
VPMR-3防步兵训练雷,无,暂无介绍,未知,VPMR-3防步兵训练雷 【概述】:该雷设计的目的是为了使士兵更加了解PMR-3防步兵地雷的构造和特点， 两种地雷具有相同的形状和尺寸,暂无介绍
VPMR2-AS防步兵训练雷,无,暂无介绍,未知,VPMR2-AS防步兵训练雷 【概述】:该雷设计的目的是为了使士兵更加了解PMR2-AS防步兵地雷的构造和特点， 两种地雷具有相同的形状和尺寸,暂无介绍
AUPS防步兵地雷,无,暂无介绍,意大利,暂无介绍,AUPS防步兵地雷是意大利研发的一种爆破雷，它还可用于破坏、爆破、防泳渡人员和诱饵雷
APM19防步兵地雷,无,暂无介绍,未知,可由电雷管、绊线、拉发雷管等引爆.该雷采用塑料雷壳,暂无介绍
C-3-A防坦克地雷,无,暂无介绍,未知,暂无介绍,暂无介绍
穿甲弹[典型的动能弹],无,暂无介绍,未知,依靠弹丸强度、重量和速度穿透装甲的炮弹，采用钢合金、贫铀合金等制成，其特点为初速高，射击精度高,暂无介绍
BGM-77“龙式”反坦克导弹,无,1964年研制,美国,射程1000米，系统全重32.8千克,"""龙""式反坦克导弹，即BGM-77是美国陆军单兵使用的轻型反坦克导弹，用于攻击坦克、装甲车辆、掩体工事等目标"
俄罗斯“短号”反坦克导弹系统,无,1994年10月亮相,俄罗斯,具有较强的破甲能力,“短号”反坦克导弹是俄罗斯的轻型第三代反坦克导弹，可以说是出身豪门，由俄罗斯图拉仪器设计制造局研制，1994年10月首次亮相，代号为AT-X- 14，用于取代有线制导的第二代AT-5“竞赛”式反坦克导弹
瑞典比尔反坦克导弹,无,1979年研制,瑞典,采用目视瞄准、红外自动跟踪、有线传输指令制导方式，射程2000米，它的特点是采用了先进的斜置式空心装药战斗部,暂无介绍
红箭-9反坦克导弹系统,无,暂无介绍,未知,“红箭”-9是一种射程远、威力大、精度高、抗干扰能力强、昼夜使用、便于快速机动作战的轮式装甲车载反坦克武器装备,暂无介绍
超高速直瞄反坦克导弹,无,暂无介绍,美国,例如导弹飞行速度慢、地面载具装甲防护弱等,暂无介绍
中国陆军PF89单兵反坦克火箭,无,暂无介绍,中国,暂无介绍,暂无介绍
海尔法反坦克导弹,无,暂无介绍,美国,它最大的特点是采用了模块化设计,暂无介绍
箭-9重型反坦克导弹,无,1988年开始立项研制,中国,“红箭”-9是一种射程远、威力大、精度高、抗干扰能力强、昼夜使用、便于快速机动作战的轮式装甲车载反坦克武器装备,“红箭”-9型反坦克导弹武器系统主要用于攻击100～5000米距离内的敌坦克和其他装甲目标，必要时也可以用来攻击敌钢筋水泥工事和火力点
泡沫弹,无,暂无介绍,未知,暂无介绍,暂无介绍
Panzerwurfmine反坦克碰炸手榴弹,无,暂无介绍,德国,暂无介绍,主要区别在于PWM的尾部多了用于稳定的飘带，后期型还加装了稳定翼
ZDF89式反坦克导弹发射车,无,1945年研制发射登上,德国,反坦克导弹就以射程远、精度高和威力大而备受世人的青睐,暂无介绍
AGM-114/海尔法/地狱火,Hellfire,暂无介绍,美国,具有发射距离远，精度高，采用激光制导,暂无介绍
PGZ-04A式4管25毫米弹炮结合防空系统,无,2004年定型1999年出现合一,美国,暂无介绍,暂无介绍
飞弩-6单兵便携式防空导弹,无,暂无介绍,中国,采用被动红外寻的制导，具有全方位攻击目标和抗背景及地面干扰、红外诱饵、红外调制干扰能力，导弹采用了+及x形气动布局，采用全数字四元红外探测仪及脉冲式跟踪系统,暂无介绍
SA316/319“云雀”Ⅲ轻型多用途直升机,无,暂无介绍,法国,暂无介绍,SA-316/319B“云雀”III直升机是法国航宇公司（现欧洲直升机公司法国分公司）在“云雀”II直升机的基础是研制的轻型多用途直升机
AS 665“虎”式多用途武装直升机,无,1992年,法国,暂无介绍,暂无介绍
意大利A129 “猫鼬”武装直升机,Mangusta,1990年开始交付使用,意大利,A-129武装直升机采用串列双座驾驶舱,暂无介绍
UH-1“易洛魁人”“休伊”多用途直升机,休伊,暂无介绍,美国,从运补作业到攻击任务都能够合适, UH-1直升机为多用途设计，U代表通用（Utility），从运补作业到攻击任务都能够合适
OH-58“基奥瓦人”侦察直升机,无,1966年10月飞,越南,暂无介绍,暂无介绍
直-9轻型多用途直升机,无,1982年完成装配,中国,暂无介绍,直-9（代号：Z-9，英文：HAMC Z-9/Harbin Z-9）直升机，是中国哈尔滨飞机制造公司（简称：哈飞）1980年10月正式引进法国SA-365N“海豚”直升机专利、研制生产的双发轻型多用途直升机，直-9直升机，配备适当设备，可用于人员运输、近海支援、空中摄影、海上巡逻、观测鱼群、护林防火、海上石油开采，也可改装为专机型、反坦克型、海上搜索救护型、反潜型、侦察校炮型、通信型等各种军用型直升机
直-10中型武装直升机,无,暂无介绍,中国,采用串列双座设计,暂无介绍
米-17-V5运输直升机,无,暂无介绍,中国,暂无介绍,暂无介绍
米-24“雌鹿” 攻击/突击直升机,无,1969年飞,苏联,由于在高原飞行时速度很快,米-24武装直升机（俄文：Миль Ми-24，英语：Mil Mi-24，北约代号：Hind，译文：雌鹿/母鹿），是苏联一型双发单旋翼中型多用途武装直升机，是苏联的第一种专用武装直升机，米-24武装直升机主要用于为己方部队开辟前进通道，清除防空火力和各种障碍，担负护航任务，还可以载8-10名士兵，由于在高原飞行时速度很快，会使得坠落事件发生可能性增大，并且自身目标大，很容易被敌军防空武器击落
卡-50“噱头”武装直升机,狼人/卡-136和卡-34,1977年完成,苏联,也是世界上首型采用单人座舱的近距支援武装直升机,卡-50武装直升机（俄文：Камов карты-50 《Чёрная акула》，译文：黑鲨，北约代号：Hokum A，译文：噱头/空谈，绰号：狼人，原名：卡-136和卡-34），是苏联/俄罗斯一型单座双发共轴双三桨旋翼多用途武装直升机，作为俄罗斯下一代反坦克直升机，还可用于执行反舰、反潜、搜索和救援、电子侦察等任务
AH-2A“石茶隼”武装直升机,无,1984年开始研制,南非,由于南非具有独特的地貌特征,暂无介绍
贝尔AH-1 “休伊眼镜蛇”武装直升机,COBRA,1965年9月7日飞,美国,暂无介绍,暂无介绍
波音AH-64武装攻击直升机,Apache,暂无介绍,美国,暂无介绍,暂无介绍
俄罗斯Mi-28“浩劫”,无,1972年开始着手,苏联,采用单旋翼布局五片主旋翼设计,暂无介绍
H-1“依洛魁”直升机,无,暂无介绍,未知,暂无介绍,暂无介绍
韩国KUH武装直升机,无,2010年3月10日报道,韩国,速度也将增加到140节,暂无介绍
科曼其武装直升机,无,暂无介绍,未知,下一代武装直升机完全有可能采用光传操纵系统，下一代武装直升机采用全隐身方案的可能性不大,暂无介绍
法国小羚羊武装直升机,无,1964年开始设计,法国,采用“云雀”II的传动系统、透博梅卡公司的“阿斯泰阻”III发动机和于德国伯科夫公司联合开发的旋翼桨叶,暂无介绍
俄罗斯卡-50武装直升机,狼人/卡-136和卡-34 ,1977年完成,苏联,也是世界上首型采用单人座舱的近距支援武装直升机,卡-50武装直升机（俄文：Камов карты-50 《Чёрная акула》，译文：黑鲨，北约代号：Hokum A，译文：噱头/空谈，绰号：狼人，原名：卡-136和卡-34 ），是苏联/俄罗斯一型单座双发共轴双三桨旋翼多用途武装直升机 ，作为俄罗斯下一代反坦克直升机，还可用于执行反舰、反潜、搜索和救援、电子侦察等任务 
俄罗斯米-28浩劫武装直升机,无,1980年开始设计,苏联, 它的结构布局、作战特点都与西方流行的设计,暂无介绍
低空杀手武装直升机,无,暂无介绍,未知,"最大平飞速度340公里/小时，巡航速度250公里/小时，最大爬升率17米/秒（起飞重量8000公斤）,作战半径310公里",暂无介绍
Z-10武装直升机,无,暂无介绍,未知,因此具有有限复杂天气和夜间作战的能力,暂无介绍
直型武装直升机,无,暂无介绍,中国,我国已成为世界上少数几个具有直升机科研生产能力、拥有完整战斗机产品系列的国家,暂无介绍
意大利A129猫鼬武装直升机,“猫鼬”,2001年2004年带来,意大利,暂无介绍,暂无介绍
意大利A-129猫鼬武装直升机,“猫鼬”,暂无介绍,意大利,暂无介绍,暂无介绍
UH-1N直升机,无,1968年推出,美国,UH-1N具有15个座位,暂无介绍
武直-12直升机,无,暂无介绍,中国,具有优异的作战性能，其总体性能能够达到国际一流水平,暂无介绍
RAH-66科曼奇武装直升机,无,1982年提出,美国,暂无介绍,暂无介绍
欧洲虎式武装直升机,无,70年代发挥,法国,暂无介绍,当时法国装备了“小羚羊”武装直升机，德国装备了Bo105P(PAH-1)武装直升机，但两者都是从轻型多用途直升机改进而来的
南非CSH-2ROOIVALK石茶隼武装直升机,无,暂无介绍,南非,暂无介绍,暂无介绍
武直-9G武装直升机,无,暂无介绍,未知,暂无介绍,暂无介绍
直-9W自用型武装直升机,无,暂无介绍,未知,暂无介绍,暂无介绍
直-9G武装直升机,无,暂无介绍,中国,暂无介绍,暂无介绍
米-24“母鹿”中型多用途武装直升机,无,1969年飞,苏联,由于在高原飞行时速度很快,米-24武装直升机（俄文：Миль Ми-24，英语：Mil Mi-24，北约代号：Hind，译文：雌鹿/母鹿），是苏联一型双发单旋翼中型多用途武装直升机，是苏联的第一种专用武装直升机，米-24武装直升机主要用于为己方部队开辟前进通道，清除防空火力和各种障碍，担负护航任务，还可以载8-10名士兵，由于在高原飞行时速度很快，会使得坠落事件发生可能性增大，并且自身目标大，很容易被敌军防空武器击落
A129“猫鼬”武装直升机,“猫鼬”,2001年2004年带来,意大利,暂无介绍,暂无介绍
防弹钢板,无,暂无介绍,中国,FDT5具有良好的防弹性能,暂无介绍
PGZ-04A式4管25毫米弹炮结合防空系统,无,2004年定型1999年出现合一,美国,暂无介绍,暂无介绍
马比约翰逊军用架桥器材,无,暂无介绍,英国,暂无介绍,暂无介绍
MB6悬索桥,无,暂无介绍,未知,当今大跨度桥梁全采用此结构,暂无介绍
KMM-2轻型机械化桥,无,50年代改进,苏联,其载重量由原来的12t增至15t,暂无介绍
Faun快速跑道修理系统,无,1970年通过,英国,暂无介绍,暂无介绍
F1轻型渡河器材,无,1971年用于结合,法国,暂无介绍,器材于1971年由法国地面兵器技术局的昂热技术试验中心研究发展，主要用于结合漕渡门桥保障 25t以下的各种车辆兵器和人员渡河
BLTT-72冲击桥,无,暂无介绍,印度,暂无介绍,暂无介绍
ALVIS-SEI冲击桥系统,无,暂无介绍,瑞士,该冲击桥可能采用的底盘车有三种，也有建议采用瑞士MOWAG 10×10 “食人鱼”底盘,暂无介绍
K口粮,无,暂无介绍,美国,暂无介绍,暂无介绍
军交猛狮III号[军交猛狮Ⅲ号],无,2012年11月24日完成,中国,暂无介绍,暂无介绍
LPX-II航母,无,2020年12月30日启动编列入,韩国,暂无介绍,暂无介绍
黄蜂号航空母舰,无,1942年击沉,美国,暂无介绍,暂无介绍
黄蜂级轻型舰队航母,无,1942年击沉,美国,暂无介绍,暂无介绍
光荣号舰队航母,无,1915年5月1日开工,英国,暂无介绍,暂无介绍
千岁号航空母舰,无,1934年11月26日开工,日本,暂无介绍,暂无介绍
多里斯·米勒号航空母舰 (CVN-81),无,2023年建造预计2028年下水进行2030年服役,美国,暂无介绍,预定用于取代尼米兹级核动力航空母舰三号舰——卡尔文森号（USS Carl Vinson CVN-70）
胡蜂号航空母舰,无,1935年9月15日订购,美国,暂无介绍,暂无介绍
胡蜂级航空母舰,无,1942年击沉,美国,暂无介绍,暂无介绍
约克城号航空母舰[CV-10],无,1941年开始建造,美国,暂无介绍,暂无介绍
祥凤号航空母舰,无,暂无介绍,日本,暂无介绍,暂无介绍
B航舰,无,暂无介绍,德国,暂无介绍,暂无介绍
克里蒙梭级,无,1955年l1月开工,法国,暂无介绍,暂无介绍
飞鹰级/Hiyo,无,暂无介绍,日本,暂无介绍,暂无介绍
隼鹰号/Junyo,无,暂无介绍,日本,暂无介绍,暂无介绍
秋津洲号/Akitsushima,飞行艇,暂无介绍,日本,暂无介绍,暂无介绍
飞鹰号/Hiyo,无,1939年11月30日动工,日本,暂无介绍,暂无介绍
龙凤号/Ryuho,无,暂无介绍,未知,但是事实上是给以后改造成空母的时候能够直接沿用，由于本舰采用的是柴油动力,暂无介绍
信浓号/Shinano,无,1960年服服役,日本,暂无介绍,暂无介绍
大凤号/Taiho,无,1939年决定,日本,暂无介绍,暂无介绍
祥凤号/Shoho,无,1942年5月7日遭围攻,未知,暂无介绍,暂无介绍
天城号/Amagi,无,1944年完,日本,暂无介绍,暂无介绍
瑞鹤号/Zuikak,无,1938年5月25日开工建造,日本,暂无介绍,暂无介绍
云龙号/Unryu,无,1941年恶化,日本,暂无介绍,暂无介绍
山东号航空母舰（山东舰）,002航空母舰,2017年4月26日下水,中国,暂无介绍,暂无介绍
中国辽宁号航空母舰,无,80年代建造遭逢解体,中国,暂无介绍,解放军的目标是对此艘未完成建造的航空母舰进行更改制造，及将其用于科研、实验及训练用途
辽宁号航空母舰,无,80年代建造遭逢解体,中国,暂无介绍,解放军的目标是对此艘未完成建造的航空母舰进行更改制造，及将其用于科研、实验及训练用途
002航空母舰,无,2019年12月17日批准,中国,暂无介绍,暂无介绍
博格级护航航空母舰,无,1942年改建,未知,鉴于其护航航母的特点,暂无介绍
“萨拉托加”号航空母舰,无,1922年规定,美国,暂无介绍,暂无介绍
富兰克林号航空母舰,无,1942年12月7日开工,美国,暂无介绍,暂无介绍
肯尼迪号航空母舰,无,1964年10月22日,美国,暂无介绍,暂无介绍
兰利号航空母舰,无,1943年1947年服役,美国,暂无介绍,暂无介绍
冲鹰号护航航母,无,暂无介绍,日本,暂无介绍,冲鹰号航空母舰的前身是日本邮船公司的邮轮新田丸，原本想行走欧亚航线但第二次世界大战的欧战爆发后祇能行走北美航线，随着美日关系因中日战争而变得日渐紧张，主要用于训练和飞机运输
列克星敦号航空母舰[CV-16],无,1941年开始建造,美国,暂无介绍,暂无介绍
兰利号航空母舰[CV-1],无,1913年4月7日服役改装来,美国,具有一个全通式木质飞行甲板,暂无介绍
兰利号航空母舰[CVL-27],无,1943年1947年服役,美国,暂无介绍,暂无介绍
美国号航空母舰[美国号航空母舰（小鹰级3号舰-CV-66）],无,1961年1月9日开工,美国,暂无介绍, 美国号航空母舰于1961年1月9日在纽波特纽斯造船及船坞公司开工，1964年2月1日下水，1965年1月23日服役，参加过包括越南战争、沙漠风暴行动、波黑的“持续自由”行动等重要战事，1996年8月9日退役，2005年5月用于试验被炸沉 
美国贝勒伍德号航空母舰,无,1942年2月16日改建,美国,暂无介绍,暂无介绍
美航母华盛顿号,无,昨2013年11月,美国,美航母华盛顿号全长三百三十三米、阔约七十七米,暂无介绍
普林斯顿号航空母舰[CVL-23],无,暂无介绍,美国,暂无介绍,暂无介绍
普林斯顿号航空母舰[CV-37],“巴里佛吉”号,1943年9月14日开工,朝鲜,暂无介绍,暂无介绍
企业号航空母舰[CVN-65],大E/Big E,1950年开始设计,美国,是美国海军唯一一艘具有8具核反应堆的军舰,企业号航空母舰（英文：USS Enterprise，舷号：CVN-65，中文：常被意译为“进取”号或“勇往”号，绰号：大E/Big E），是美国海军及世界第一艘核动力航空母舰，是唯一一艘建成的企业级航空母舰，舰名源自美国独立战争期间俘获并更名的一艘英国单桅纵帆船，是美军第八艘以企业为名的军舰，同时也是美国的一种多用途超大型航空母舰，是美国海军唯一一艘具有8具核反应堆的军舰
企业号航空母舰[CVN-80],无,2025年服设想,美国,暂无介绍,暂无介绍
企业号航空母舰[CV-6],大E或幸运E,1934年开始建造,美国,暂无介绍,暂无介绍
日本赤城号航空母舰,无,暂无介绍,日本,暂无介绍,暂无介绍
瑞凤级轻型航空母舰,无,暂无介绍,日本,两舰广泛采用电气焊接技术，原采用的柴油发动机后改为涡轮引擎,暂无介绍
日本翔鹤级航空母舰,无,暂无介绍,日本,暂无介绍,暂无介绍
神鹰号航空母舰[日本帝国海军航空母舰],无,1934年12月14日下水,德国,暂无介绍,暂无介绍
圣哈辛托号航空母舰,无,1942年10月26日建造,美国,暂无介绍,暂无介绍
瓦雅格号航母,无,2001年8月25日作出,土耳其,暂无介绍,暂无介绍
维克兰特号航空母舰[印度首艘自造航母],无,2018年7月19日发表称,印度,暂无介绍,暂无介绍
星座号航空母舰,无,1957年造开工建造,美国,采用传统动力设计,暂无介绍
西班牙胡安·卡洛斯一世号航空母舰,无,暂无介绍,西班牙,胡安·卡洛斯一世号具有直通飞行甲板和舰艏的滑跃甲板,"西班牙胡安·卡洛斯一世号航空母舰也称胡安·卡洛斯一世号战略武力投射舰（西班牙语：Juan Carlos I (L-61)）是西班牙海军的一艘融合了轻型航空母舰与两栖突击舰功能的多用途军舰，西班牙当初起造此舰时是以“战略投射舰”（Buque de Proyección Estratégica，英语:Strategic Projection Ship, SPS ）作为其定位"
意大利凯沃尔号航空母舰,无,暂无介绍,意大利,暂无介绍,暂无介绍
约翰史坦尼斯号航母,无,1995年服役,美国,船体全长317米,暂无介绍
云鹰号航空母舰,无,1944年9月15日击沉,日本,暂无介绍,暂无介绍
游骑兵号航空母舰[CV-4],无,1931年9月26日开工,美国,暂无介绍,暂无介绍
游骑兵号航空母舰[CV/CVA-61],无,暂无介绍,美国,暂无介绍,暂无介绍
英国威尔士亲王号航母,无,2011年5月目前,英国,暂无介绍,暂无介绍
奇沙治级战列舰,无,暂无介绍,美国,暂无介绍,暂无介绍
田纳西号战列舰,无,1917年5月开工,未知,暂无介绍,暂无介绍
弗吉尼亚号战列舰,无,暂无介绍,美国,暂无介绍,暂无介绍
罗德岛号战列舰,无,1906年服役,美国,暂无介绍,暂无介绍
明尼苏达号战列舰,无,1921年宣布退役,美国,暂无介绍,暂无介绍
内布拉斯加号战列舰,无,1907年开始服役,美国,暂无介绍,暂无介绍
佐治亚号战列舰,无,1906年服役,美国,暂无介绍,暂无介绍
安森号战列舰,无,暂无介绍,英国,暂无介绍,暂无介绍
阿根廷里瓦达维亚级战列舰,无,1907年获得通过,阿根廷,暂无介绍,暂无介绍
波默恩号战列舰,无,暂无介绍,德国,暂无介绍,暂无介绍
百人队长号战列舰,无,1889年開始軍大擴軍計劃,未知,暂无介绍,暂无介绍
巴西米纳斯吉拉斯级战列舰,无,暂无介绍,巴西,最后还是继续向英国订购安装12英寸口径主炮的无畏舰,暂无介绍
超弩级战舰,无,暂无介绍,未知,暂无介绍,暂无介绍
法国东方号战列舰,皇太子号,1792年11月命名,法国,暂无介绍,暂无介绍
扶桑号战列舰,无,1912年3月11日开工,日本,暂无介绍,暂无介绍
