weapon,abstract
136 杭州号导弹驱逐舰,"
	
 

        
        
          136 杭州号导弹驱逐舰，为俄制现代级（956E型）驱逐舰。中国订购的第一艘现代级驱逐舰,1988年在俄罗斯圣彼德堡北方造船厂开工建造，1994年5月下水，1999年12月试航，1999年12月25日交付中国海军，2000年初远涉重洋回国。途中于2月11号导弹驱逐舰穿越台湾海峡，抵达浙江舟山军港，服役于东海舰队。 主尺度：长156.5米，宽17.19米，吃水7.85米 排水量：6500吨（标准）/7940吨（满载）/8480吨（最大） 航　速：32节主　机：4座蒸汽锅炉，2轴，99500马力续航力：2400海里/32节；6500海里/20节；14000海里/14节 舰　员：296人（军官25名） 导　弹：舰舰导弹：2座KT-190型四联装反舰导弹发射装置，装SS-N-22（3M80）""日炙""（Moskit/Sunburn）反舰导弹　　　　舰空导弹：2座9K90型单臂舰空导弹发射装置，备48枚SA-N-7（9M38/9M38MI）""牛虻""（Gadfly）舰空导弹舰　炮：2座双联装AK130-MR184型舰炮　　　　4门AK630近防炮鱼　雷：2座双联装533毫米鱼雷发射管，发射TEST-71M线导反潜鱼雷火　箭：RBU-1000型300毫米6管反潜火箭2座　　　　PK-2型双管干扰火箭2座　直升机：卡-27反潜直升机
        
        
           
        
        
          	"
116 石家庄号导弹驱逐舰,"
	
 

        
        
          116 石家庄号导弹驱逐舰，051C型驱逐舰第二艘，2005年4月12日组建舰员队，2005年7月26日在大连船舶重工下水。2007年3月服役于北海舰队。 主尺度：长155米，宽17米排水量：6500吨（标准），7100吨（满载） 航　速：29节主　机：2台国产蒸汽轮机，49600马力续航力：6500海里（以15节的航速）导　弹：舰舰导弹：2座4联YJ-83反舰导弹发射架　　　　舰空导弹：6座八单元S-300F（SA-N-6）舰空导弹垂直发射装置舰　炮：1座H/PJ-87式单管100毫米舰炮　　　　2座730型30毫米近防炮系统鱼　雷：2座3联324毫米鱼雷发射管火　箭：2座18管多用途火箭发射器直升机：只设有直升机起降平台
        
        
           
        
        
          	"
115 沈阳号导弹驱逐舰,"
	
 

        
        
          115 沈阳号导弹驱逐舰，051C型驱逐舰首舰，2003年底在大连船舶重工动工，2004年12月28日下水，2006年1月1日正式服役于北海舰队。该型导弹驱逐舰是中国海军第2个级别的专门设计用来执行海上编队防空任务的大型驱逐舰。主尺度：长155米，宽17米，吃水6米 排水量：6500吨（标准），7100吨（满载） 航　速：29节主　机：2台国产蒸汽轮机，49600马力，双桨，双舵续航力：6500海里（以15节的航速）导　弹：舰舰导弹：2座4联YJ-83反舰导弹发射架　　　　舰空导弹：6座八单元S-300F（SA-N-6）舰空导弹垂直发射装置舰　炮：1座H/PJ-87式单管100毫米舰炮　　　　2座730型30毫米近防炮系统鱼　雷：2座3联324毫米鱼雷发射管火　箭：2座18管多用途火箭发射器直升机：只设有直升机起降平台
        
        
           
        
        
          	"
134 遵义号导弹驱逐舰,"
	
 

        
        
          134 遵义号导弹驱逐舰，051D型(旅大I级)驱逐舰，1978年11月19日在上海中华造船厂开工制造，1983年11月25日下水，1984年12月28日服役于东海舰队。 　　改装：2004年，经总部批准，中国海军选用遵义舰为平台，进行信息化试验，将遵义舰改装为海军指挥舰，改装后型号导弹驱逐舰为051DJ型。 在信息化改装中，全面换装了舰载通信系统，加装了多种数据链及卫星通信设备，并增设了编队作战指挥系统，成为当时中国海军信息化手段最高、指挥能力最强的指挥舰。 排水量：3250吨（标准），3670吨（满载） 主尺寸：长132米，宽12.8米，吃水4.6米 主　机：2台锅炉， 2台蒸汽轮机，72000马力，双轴 航　速：36节 续航力：2970海里/18节。 编　制：280名（其中军官45名） 武  器：反舰导弹：2座三联装“HY-1”导弹发射架 　　　　2座76式130毫米双管主炮 　　　　4座61式37毫米双管舰炮 　　　　4座61式25毫米双管舰炮 　　　　2具2500型12管反潜火箭深弹发射器 　　　　深弹发射装置4座，深弹投放架2座 ——相关报道——·
        
        
           
        
        
          	"
133 重庆号导弹驱逐舰(退役),"
	
 

        
        
          133 重庆号导弹驱逐舰，051D型(旅大I级)驱逐舰，1978年5月23日在上海中华造船厂开工制造，1980年10月31日下水，1983年12月30日服役于东海舰队。2014年9月26日在东海舰队退役，退役后重庆舰将作为海军工程大学后勤学院学员训练保障设施，继续为海军服务。排水量：3250吨（标准），3670吨（满载）主尺寸：长132米，宽12.8米，吃水4.6米主　机：2台锅炉， 2台蒸汽轮机，72000马力，双轴航　速：36节续航力：2970海里/18节。编　制：280名（其中军官45名）武  器：反舰导弹：2座三联装“HY-1”导弹发射架　　　　2座76式130毫米双管主炮　　　　4座61式37毫米双管舰炮　　　　4座61式25毫米双管舰炮　　　　2具2500型12管反潜火箭深弹发射器　　　　深弹发射装置4座，深弹投放架2座——相关资料——·【14年09月】第一代导弹驱逐舰重庆舰光荣退役 
        
        
           
        
        
          	"
109 开封号导弹驱逐舰,"
	中国109“开封”号导弹驱逐舰，原为051D型(旅大I级)驱逐舰，改装后成为051DT型(旅大II级)。1977年10月28日在大连造船厂开始建造，1979年11月3日下水，1982年12月25日交付北海舰队使用，多做为武器试验舰用。
            	"
132 合肥号导弹驱逐舰,"
	合肥号驱逐舰(舷号：132)，是20世纪70年代末中国建造的一艘051Z型驱逐舰(北约代号：旅大Ⅰ级)。 该舰1977年4月上海中华造船厂开工制造，1977年12月上船台，1978年11月下水，1980年3月交付中国海军东海舰队使用。2012年11月16日转交给中国海军航空工程学院管理。
            	"
162 南宁号导弹驱逐舰(退役),"
	
 

        
        
          162 南宁号导弹驱逐舰，051型(旅大I级)驱逐舰，1970年12月26日广州造船厂开始建造，1976年10月27日下水，1979年3月5日完工，1979年3月23日服役于南海舰队。2012年9月退役。　　1980年为观测中国洲际导弹发射试验的“远望”号导弹驱逐舰护航至太平洋，并首次试制成海上加油装置。　　1989年7月1日，广州造船厂与海军×部签订“162”导弹驱逐舰补、换装合同。排水量：3250吨（标准），3670吨（满载）主尺寸：长132米，宽12.8米，吃水4.6米主　机：2台锅炉， 2台蒸汽轮机，72000马力，双轴航　速：36节续航力：2970海里/18节。编　制：280名（其中军官45名）武    器：反舰导弹：2座三联装“HY-1”导弹发射架　　　　2座76式130毫米双管主炮　　　　4座61式37毫米双管舰炮　　　　4座61式25毫米双管舰炮　　　　2具2500型12管反潜火箭深弹发射器　　　　深弹发射装置4座，深弹投放架2座——相关报道——·
        
        
           
        
        
          	"
104 太原号导弹驱逐舰(退役),"
	
 

        
        
          104 太原号导弹驱逐舰，6607型(鞍山级)驱逐舰，为前苏联""Gordy""级驱逐舰，1953年6月4日前苏联出售中国，1955年6月28日在青岛接收，曾作为中国海军早期“四大金刚”之一。1991年9月19日退役,改名""青岛""泊于大连老虎滩做为大连舰艇学院的练习舰。舷号导弹驱逐舰曾经为204，1974年改舷号导弹驱逐舰为104。1970年完成进行现代化改装，将鱼雷改装成两座双联装""上游""反舰导弹，成为导弹驱逐舰。　　其前身为苏联二战前仿意大利式驱逐舰的设计的一艘以鱼雷为主要武器雷击舰，1940年下水，1941年服役，在苏联被命名“勤奋”号导弹驱逐舰。　　1962年5月17日，“太原”舰和“常州 (6604型)”号导弹驱逐舰猎潜艇奉命出航，前往驱逐从台湾基隆出发侵入福州以东领海达3.8 nm用雷达探测福州上空低飞目标的美国海军驱逐舰“格里高里 (Gregory DD 802，Fletcher级)”号导弹驱逐舰。　　1962年7月5日，美国海军驱逐舰“佛?诺克斯 (Frank Knox DD 742，Gearing级)”号导弹驱逐舰侵入青岛以东领海附近用雷达侦察解放军舰艇活动。“太原”舰奉命前往监视，双方对峙3天，美舰悄然离去。排水量：标准1657吨，满载2451吨主尺度：长112.80米，宽10.20米，吃水4.27米 动　力：3台锅炉，2台蒸汽轮机，48 000匹 航　速：26节 航　程：2278/18节编　制：240人武　器：2座双联装“上游”-1(SY-1)反舰导弹（无再装填功能）　　　　4门В-13-2С型130 mm 50径倍主炮　　　　4门Б-11型双联37 mm 63径倍副炮　　　　2座БМБ-2型432 mm深弹发射装置　　　　2条投放轨，48枚КБ-3型锚雷或32枚ИТДМ型沉雷
        
        
           
        
        
          	"
103 长春号导弹驱逐舰(退役),"
	
 

        
        
          103 长春号导弹驱逐舰，6607型(鞍山级)驱逐舰，为前苏联""Gordy""级驱逐舰，1953年6月4日前苏联出售中国，1955年6月28日在青岛接收，曾作为中国海军早期“四大金刚”之一。1990年8月退役，被山东省乳山市购去停泊于该市的银滩做为展示舰用。舷号导弹驱逐舰曾经为203，1974年改舷号导弹驱逐舰为103。1970年完成进行现代化改装，将鱼雷改装成两座双联装""上游""反舰导弹，成为导弹驱逐舰。　　其前身为苏联二战前仿意大利式驱逐舰的设计的一艘以鱼雷为主要武器雷击舰，在苏联被命名“坚决”号导弹驱逐舰。　　1962年4月12日，“鞍山”、“长春”、“太原”3舰奉命出航，前往监视从日本佐世堡开中国领海附近进行电子侦听的美国海军驱逐舰“狄海文 (De Haven DD 727，Allen M. Sumner级)”号导弹驱逐舰，这是解放军海军首次派舰到12海里领海线外执行任务。排水量：标准1657吨，满载2451吨主尺度：长112.80米，宽10.20米，吃水4.27米 动　力：3台锅炉，2台蒸汽轮机，48 000匹 航　速：26节 航　程：2278/18节编　制：240人武　器：2座双联装“上游”-1(SY-1)反舰导弹（无再装填功能）　　　　4门В-13-2С型130 mm 50径倍主炮　　　　4门Б-11型双联37 mm 63径倍副炮　　　　2座БМБ-2型432 mm深弹发射装置　　　　2条投放轨，48枚КБ-3型锚雷或32枚ИТДМ型沉雷
        
        
           
        
        
          	"
102 抚顺号导弹驱逐舰(退役),"
	
 

        
        
          102 抚顺号导弹驱逐舰，6607型(鞍山级)驱逐舰，为前苏联""Gordy""级驱逐舰，1953年6月4日前苏联出售中国，1954年10月26日在青岛接收，曾作为中国海军早期“四大金刚”之一。1989年退役后被江苏江阴的一家拆船厂买去拆成废铁。舷号导弹驱逐舰曾经为202，1974年改舷号导弹驱逐舰为102。1969年5月进行现代化改装，将鱼雷改装成两座双联装""上游""反舰导弹，成为导弹驱逐舰。　　其前身为苏联二战前仿意大利式驱逐舰的设计的一艘以鱼雷为主要武器雷击舰，在苏联被命名“神速”号导弹驱逐舰。　　1955年11月，旗舰“鞍山”号导弹驱逐舰率“抚顺”舰组成驱逐舰编队，参加在辽东半岛举行的陆海空合成抗登陆战役实兵演习。　　1959年9月，旗舰“鞍山”号导弹驱逐舰率“抚顺”舰组成驱逐舰编队，参加在浙江穿山半岛举行的陆海空合成渡海登陆战役实兵演习。　　1963年9月30日－10月6日，美国海军驱逐舰“布鲁 (Blue DD 744，Allen M. Sumner级)”号导弹驱逐舰3次逼近长山列岛以东24.5 nm处，用雷达跟踪山东半岛上空目标，侦察解放军是否部署新型飞机或导弹。“鞍山”、“抚顺”2舰奉命前往监视并驱逐，先后向美舰发警告36次，双方实弹对峙8昼夜，直至美舰撤退。　　1977年5月1日－7月22日，以“鞍山”号导弹驱逐舰为指挥舰，率“抚顺”号导弹驱逐舰等舰首次到台湾海峡为打捞沉船“阿波丸”号导弹驱逐舰的作业护航警戒。排水量：标准1657吨，满载2451吨主尺度：长112.80米，宽10.20米，吃水4.27米 动　力：3台锅炉，2台蒸汽轮机，48 000匹 航　速：26节 航　程：2278/18节编　制：240人武　器：2座双联装“上游”-1(SY-1)反舰导弹（无再装填功能）　　　　4门В-13-2С型130 mm 50径倍主炮　　　　4门Б-11型双联37 mm 63径倍副炮　　　　2座БМБ-2型432 mm深弹发射装置　　　　2条投放轨，48枚КБ-3型锚雷或32枚ИТДМ型沉雷
        
        
           
        
        
          	"
101 鞍山号导弹驱逐舰(退役),"
	
 

        
        
          101 鞍山号导弹驱逐舰，曾用舷号导弹驱逐舰201，1974年改舷号导弹驱逐舰为101。6607型(鞍山级)驱逐舰，海军第一艘驱逐舰，为前苏联""Gordy""级驱逐舰，1953年6月4日前苏联出售中国，1954年10月13日交付，1954年10月24日被命名为鞍山号导弹驱逐舰，曾作为中国海军早期“四大金刚”之首。1992年4月24日退役，服役期长达56年。现陈列于青岛海军博物馆。1970年完成进行现代化改装，将鱼雷改装成两座双联装""上游""反舰导弹，成为导弹驱逐舰。38年来，鞍山舰航行10万多海里，是世界范围内服役时间最长的驱逐舰之一。　　其前身为苏联二战前仿意大利式驱逐舰的设计的一艘以鱼雷为主要武器雷击舰，由苏联c-324工厂于1936年开工铺龙骨，1940年下水，1941年9月4日建成，命名“果敢 (Решительны)”号导弹驱逐舰，入役太平洋舰队,二次大战时曾任苏太平洋舰队旗舰。　　1955年11月，旗舰“鞍山”号导弹驱逐舰率“抚顺”舰组成驱逐舰编队，参加在辽东半岛举行的陆海空合成抗登陆战役实兵演习。　　1959年9月，旗舰“鞍山”号导弹驱逐舰率“抚顺”舰组成驱逐舰编队，参加在浙江穿山半岛举行的陆海空合成渡海登陆战役实兵演习。　　1962年4月12日，“鞍山”、“长春”、“太原”3舰奉命出航，前往监视从日本佐世堡开中国领海附近进行电子侦听的美国海军驱逐舰“狄海文 (De Haven DD 727，Allen M. Sumner级)”号导弹驱逐舰，这是解放军海军首次派舰到12海里领海线外执行任务。　　1963年9月30日－10月6日，美国海军驱逐舰“布鲁 (Blue DD 744，Allen M. Sumner级)”号导弹驱逐舰3次逼近长山列岛以东24.5海里处，用雷达跟踪山东半岛上空目标，侦察解放军是否部署新型飞机或导弹。“鞍山”、“抚顺”2舰奉命前往监视并驱逐，先后向美舰发警告36次，双方实弹对峙8昼夜，直至美舰撤退。　　1964年10月，中国海军大比武中，“鞍山”舰荣获满载布雷、火炮射击两项第一。　　1977年5月1日－7月22日，以“鞍山”号导弹驱逐舰为指挥舰，率“抚顺”号导弹驱逐舰等舰首次到台湾海峡为打捞沉船“阿波丸”号导弹驱逐舰的作业护航警戒。　　1980年5月19日，它在四艘猎潜舰的护卫下，在青岛举行了已故国家主席刘少奇骨灰的撒放仪式。排水量：标准1657吨，满载2451吨主尺度：长112.80米，宽10.20米，吃水4.27米 动　力：3台锅炉，2台蒸汽轮机，48 000匹 航　速：26节 航　程：2278/18节编　制：240人武　器：2座双联装“上游”-1(SY-1)反舰导弹（无再装填功能）　　　　4门В-13-2С型130 mm 50径倍主炮　　　　4门Б-11型双联37 mm 63径倍副炮　　　　2座БМБ-2型432 mm深弹发射装置　　　　2条投放轨，48枚КБ-3型锚雷或32枚ИТДМ型沉雷
        
        
           
        
        
          	"
726-4型干扰弹发射装置,"
	726-4型干扰弹发射装置，是我国自行研制的无源电子战系统的干扰发射装置，每座发射装置有18个发射管。其主要功能是和近程反导舰炮武器系统共同组成军舰末端防御体系，用于对反舰导弹进行软对抗。



	"
南昌号(051型驱逐舰舷号163),"
	南昌号驱逐舰（英文：Nachang Destroyer，舷号：163）是中国海军的051型驱逐舰之一。南昌号驱逐舰1977年于广州造船厂开工制造，1979年下水，1982年服役于南海舰队，2004年调往北海舰队。2016年退役降旗。	"
“南昌号”导弹驱逐舰,"
	南昌号驱逐舰（英文：Nanchang Destroyer ，舷号：101，简称：南昌舰），是中国自主研制的055型驱逐舰首舰。
南昌号驱逐舰满载排水量1.2万吨左右，装备130毫米舰炮、1130近防炮、红旗-10防空导弹、32管多功能发射器、总计多达112单元的垂直武器发射装置、新型S波段有源相控阵雷达、双直升机机库。该舰可发射反舰、防空、反潜导弹及对陆攻击远程巡航导弹，同时新增反导作战能力。该舰应用现代化的信息、网络无线电电子技术，装备了更先进的对空和对海雷达。
南昌号驱逐舰在江南造船厂于2014年12月开工，2017年6月28日下水 ，2019年4月23日参加海上阅兵正式公开。
首任舰长高克，高克，出生于山东滨州博兴，1999年毕业于天津理工大学。	"
哈尔滨号导弹驱逐舰,"
	哈尔滨号驱逐舰（英文：Harbin Destroyer ，舷号：112），是20世纪90年代初期中国研制建造的052型驱逐舰（北约代号：旅沪级）首舰。该舰是中国在第一代051型驱逐舰基础上，引进部分西方武器装备建造的。舰上装备了美国的LM-2500型燃气轮机、德国的MTU柴油机和辅机，法国的作战指挥系统、声呐控制系统、搜索制导雷达、""海响尾蛇""舰空导弹和电子战设备，以及意大利的鱼雷发射装置、英国的导航雷达 。哈尔滨号驱逐舰，曾为中国海军北海舰队旗舰 。该舰1989年9月8日在上海江南造船厂开工制造，1991年8月28日下水，1994年5月8日服役于北海舰队 。2002年，哈尔滨号接受现代化改装，用“鹰击”-82（C-802）换装“鹰击”-81（C-801）反舰导弹，将原来的100毫米炮塔换成了隐身炮塔。	"
巴德尔号导弹驱逐舰,"
	巴基斯坦巴德尔号导弹驱逐舰是巴基斯坦从英国购回的6艘护卫舰加以改装而成的。配备了美制“鱼叉”反舰导弹和中国提供的LY-60N(N代表海军型)型面空导弹。 2009年4月18日，该舰应邀参加“庆祝中国人民解放军海军成立60周年多国海军活动”。	"
“凌波”号吹雪型驱逐舰11号舰,"
	“吹雪”号驱逐舰（ふぶき）是旧日本帝国海军（IJN）第35号驱逐舰，“吹雪级驱逐舰”的一号舰。于舞鹤工作部动工，在1928年至1942年间服役。其命名继承自春雨级驱逐舰的同名舰，是第二艘被命名为“吹雪”的战舰。虽然“吹雪”号是一号舰，但并非第一艘服役的“吹雪级驱逐舰”。	"
武汉号052B驱逐舰,"
	武汉号驱逐舰（舷号：169，简称：武汉舰），是中国海军隶下的一艘导弹驱逐舰，属中国052B型驱逐舰的二号舰。武汉号驱逐舰是一种防空、反潜、反舰能力均衡的远洋驱逐舰。从舰艇的武器、电子设备来看，应属多用途型驱逐舰，在防空、反舰、反潜能力上都有一手，整体性能在国际同级舰中处于中上水平，在亚洲处于先进水平。武汉号驱逐舰于2002年下水，2004年服役，主要规格和“广州”舰相同，是南海舰队主力舰之一。	"
广州号168舰052B型驱逐舰首舰,"
	广州号驱逐舰(舷号：168)，属052B型驱逐舰首舰。该舰是具有防空、反潜、反舰、具备舰队区域防空能力的多用途驱逐舰。广州舰是中国海军“大型远洋驱逐舰”计划中的第一艘实用舰型，总设计师是潘镜芙院士。1997年开始研制，1999年设计定型，曾获1999年国家科技进步特等奖，2002年在江南造船厂下水舾装，2003年开始海试。
            	"
兰维尔号导弹驱逐舰,"
	印度“兰维尔”号导弹驱逐舰是印度海军“拉吉普特”级(Rajput)驱逐舰，续航能力是4000海里/20节；2600海里/30节。
            	"
金奈号驱逐舰,"
	金奈号驱逐舰是印度P15A级驱逐舰，服役于2013年。	"
济南号导弹驱逐舰,"
	济南号驱逐舰（英文：Jinan destoyer ，舷号：105，北约代号：Luda-class，译文：旅大级），是20世纪60年代末期中国建造的051型驱逐舰首舰。该型舰为中国自行研制的第一代导弹驱逐舰。该舰装备1座130毫米双管舰炮，2座37毫米双管机关炮，2座25毫米双管机关炮，并在主甲板上加装双直升机机库，可以停放2架中国产直-9反潜直升机。该舰满载排水量3670吨，由2台蒸汽轮机驱动，总功率72000马力，最大航速32节，航程2970海里。济南号驱逐舰由大连造船厂建造，1968年12月24日开工，1970年7月30日下水，1971年12月31日服役于中国海军北海舰队。该舰完成了051型驱逐舰加装舰载机和防空导弹系统等新技术的试验，成为051G1型驱逐舰（北约代号：旅大Ⅱ级  ）	"
克什米尔号驱逐舰,"
	克什米尔号驱逐舰为K级驱逐舰，1941.5.23在克里特遭德机空袭沉没。	"
科特林／萨姆．科特林级驱逐舰,"
	科特林／萨姆．科特林级驱逐舰是前苏海军导弹驱逐舰，1９５４年至１９５８年，科特林级共建造１８艘，萨姆．科特林共建造８艘，本级舰也向国外出口。	"
卡萨德级C70防空型驱逐舰,"
	卡萨德级C70防空型驱逐舰是法国海军一级以防空为主的多用途驱逐舰，是在乔治·莱格级反潜驱逐舰的基础上发展的 ，主要承担航母编队的区域防空任务，也可单独使用。该级舰共建造2艘，首舰卡萨尔号于1982年9月开工，1985年2月下水，1988年7月服役，二号舰让·巴尔号1986年3月开工，1988年3月下水，1991年9月服役。	"
卡塔马卡级驱逐舰,"
	船国家类和类型排量(吨)首先委托命运卡塔马卡阿根廷Catamarcaclass destroyer1,010ca.1912Sold(被卖) 1959 该船以阿根廷一个省命名级别，曾参加过第二次世界大战，后被阿根廷转手卖出。 卡塔马卡省(Catamarca)为南美国家阿根廷二十三省之一，位于阿根廷东北部，该省首府为卡塔马卡(San Fernando del Valle de Catamarca)。
            	"
旅大Ⅲ级驱逐舰[旅大Ⅲ级驱逐舰],"
	中国唯一一艘旅大III级166号驱逐舰于1988年开工建造，1991年下水，1993年交付海军使用。	"
毛奇号重巡洋舰,"
	毛奇号重巡洋舰第一次世界大战期间，1916年在日德兰海战中，毛奇号隶属希佩尔战列巡洋舰分队，在旗舰吕佐号遭到重创后曾担当过希佩尔的旗舰，战争结束后被引渡到英国，在斯卡帕湾“彩虹行动”中自沉。	"
美国威廉波特尔号驱逐舰,"
	它是美国海军史上最幸运的战舰之一，刚刚服役4个月便被委以保护总统的重任。它也是美国海军史上最倒霉的战舰之一，执行护航任务伊始就砸坏友舰，自爆反潜深弹，事故不断。它还是美国海军史上最乌龙的战舰，例行演习时竟向自己总统乘座的军舰射出致命的鱼雷。它更是美国海军史上最悲惨的战舰，不但曾经全体舰员被拘，最终还被海军永远除名。	"
萨尔6型护卫舰,"
	萨尔6型护卫舰（Sa'ar 6-Class Corvette），是以色列海军继萨尔5型护卫舰之后订购的一种轻型护卫舰，它是以色列海军未来最新型的水面战斗舰。本级舰计划订购4艘。	"
塔曼达雷级护卫舰,"
	塔曼达雷级护卫舰（英语： Tamandaré Class  Frigate）是巴西海军未来的一型通用护卫舰，以MEKO 型护卫舰为蓝本建造。该项目由巴西国防部提出，研发团队由巴西蓝海集团、德国蒂森克虏伯海事系统公司、巴西航空防务公司和阿泰克公司组成，蒂森克虏伯此前已被巴西国防部确定为“塔曼达雷”级护卫舰项目的中标者。巴西预计订购4艘该级舰，还有两艘到时看情况决定是否追加。	"
朱拜尔级护卫舰,"
	阿尔·朱拜尔级护卫舰是西班牙海军为沙特建造的一款出口型轻型护卫舰。以出口委内瑞拉的“前卫-2200”型护卫舰（Avante 2200 Corvette）为蓝本，预计建造5艘。	"
501 信阳号护卫舰,"
	501 信阳号护卫舰，056型护卫舰，辽南造船厂制造。2015年3月7日在北海舰队大连某军港举行正式入列命名和授旗仪式。主尺度：长88.9米，宽11.14米，吃水4.3米 排水量：标准1300吨，满载1440吨 动　力：柴柴联合(CODAD) 单轴，柴油机额定总功率12200KW 航　速：最高航速25节-30节 续航力：2000英里/18节 编　制：60人 武　器：防空导弹：1座8联装的FL3000舰空导弹发射装置 　　　　1座PJ26型单管76MM隐身舰炮 　　　　2座30毫米新型遥控舰炮 　　　　2座双联装鹰击-83反舰导弹发射装置 　　　　2座3联装鱼雷发射管——相关资料——·【15年03月】056新型护卫舰信阳舰入列海军 
        
        
           	"
535 宣城号护卫舰,"
	
 

        
        
          535 宣城号护卫舰，056型护卫舰，2016年8月19日在武昌造船厂下水。主尺度：长88.9米，宽11.14米，吃水4.3米 排水量：满载1300吨 动　力：柴柴联合(CODAD) 单轴，柴油机额定总功率12200KW 航　速：最高航速25节-30节 续航力：2000英里/18节 编　制：60人 武　器：防空导弹：1座8联装的FL3000舰空导弹发射装置 　　　　1座PJ26型单管76MM隐身舰炮 　　　　2座30毫米新型遥控舰炮 　　　　2座双联装鹰击-83反舰导弹发射装置 　　　　2座3联装鱼雷发射管——相关资料——·
        
        
           
        
        
          	"
556 宜春号护卫舰,"
	
 

        
        
          556 宜春号护卫舰，056型护卫舰。2015年10月在沪东造船厂开始建设，2016年9月正式下水，2017年10月16日入列命名授旗仪式在福建宁德举行。主尺度：长88.9米，宽11.14米，吃水4.3米 排水量：满载1300吨 动　力：柴柴联合(CODAD) 单轴，柴油机额定总功率12200KW 航　速：最高航速25节-30节 续航力：2000英里/18节 编　制：60人 武　器：防空导弹：1座8联装的FL3000舰空导弹发射装置 　　　　1座PJ26型单管76MM隐身舰炮 　　　　2座30毫米新型遥控舰炮 　　　　2座双联装鹰击-83反舰导弹发射装置 　　　　2座3联装鱼雷发射管——相关资料——·
        
        
           
        
        
          	"
518 义乌号护卫舰,"
	
 

        
        
          518 义乌号护卫舰，056型护卫舰。2016年5月20日在沪东造船厂下水，2017年7月21日入列。 主尺度：长88.9米，宽11.14米，吃水4.3米 排水量：满载1300吨 动　力：柴柴联合(CODAD) 单轴，柴油机额定总功率12200KW 航　速：最高航速25节-30节 续航力：2000英里/18节 编　制：60人 武　器：防空导弹：1座8联装的FL3000舰空导弹发射装置 　　　　1座PJ26型单管76MM隐身舰炮 　　　　2座30毫米新型遥控舰炮 　　　　2座双联装鹰击-83反舰导弹发射装置 　　　　2座3联装鱼雷发射管——相关资料——·【17年07月】海军“义乌舰”正式入列命名 
        
        
           
        
        
          	"
520 汉中号护卫舰,"
	汉中号护卫舰（舷号：520），是中国海军隶下的一艘轻型导弹护卫舰，属中国056型护卫舰。汉中号护卫舰是中国人民解放军海军主力的护卫舰之一，该护卫舰隶属于南海舰队。



	"
514 六盘水号护卫舰,"
	六盘水号护卫舰(舷号：514)，属056A型护卫舰，于2016年3月31日在广州黄埔造船厂下水。该舰是中国自行设计建造的新型导弹护卫舰，装备了中国自行研发的新型武器装备，具有设计理念先进、集成化信息化程度高、隐身性能好、电磁兼容性强等特点。具有较强的防空、反潜和对海作战能力。
            	"
513 鄂州号护卫舰,"
	鄂州号护卫舰(舷号：513)，是中国自行研制建造的056型护卫舰。该舰具有操纵性能好、适航性能好、续航力自给力大、隐身性能好、攻防性能强、自动化程度高等特点。
            	"
510 宁德号护卫舰,"
	宁德号护卫舰（舷号：510），是中国建造的一艘056型护卫舰。该舰由广州黄埔造船厂建造，于2015年10月16日下水，2016年12月28日服役。	"
511 保定号护卫舰,"
	保定号护卫舰（舷号：511），是中国海军隶下的一艘轻型导弹护卫舰，属中国056型护卫舰。


	"
512 菏泽号护卫舰,"
	菏泽号护卫舰（舷号：512），是中国海军隶下的一艘轻型导弹护卫舰，属中国056型护卫舰。该舰满载排水量1300余吨。装备了多套中国自主研发的新型武器装备，信息化程度高，隐身性能好，可单独或者协同其他兵力攻击敌水面舰艇、潜艇，具有较强的防空、反潜和对海作战能力
。菏泽号护卫舰由辽南造船厂建造，2015年7月7日下水，2016年12月12日入列。


	"
508 曲靖号护卫舰,"
	曲靖号护卫舰(舷号508)，是中国建造的056型护卫舰。该舰由黄埔造船厂建造，于2015年7月16日下水，2016年6月8日上午入列。
            	"
507 铜仁号护卫舰,"
	铜仁号护卫舰(舷号：507)，是中国056型护卫舰。该舰于2015年3月19日在中国上海沪东造船厂下水，2016年2月20日入列。铜仁舰是我国自行研制设计生产的新型导弹护卫舰，具有很强的防空、反潜和对海作战能力，主要担负巡逻警戒、护渔护航等任务。
            	"
506 荆门号护卫舰,"
	荆门号护卫舰（舷号：506），是中国海军隶下的一艘轻型导弹护卫舰，属中国056型护卫舰。
荆门号护卫舰是中国人民解放军海军的主力护卫舰之一，该护卫舰隶属于南海舰队。
荆门号护卫舰由黄埔造船厂建造，2014年12月27日下水，2016年1月服役。



	"
505 秦皇岛号护卫舰,"
	秦皇岛号护卫舰是中国人民解放军海军的主力护卫舰之一，该护卫舰隶属于北海舰队。



	"
504 宿迁号护卫舰,"
	宿迁号护卫舰是中国人民解放军海军是主力护卫舰之一，该护卫舰在2014年6月19日下水。



	"
502 黄石号护卫舰,"
	黄石号护卫舰(舷号：502)，是中国海军隶下的一艘轻型导弹护卫舰，属056型护卫舰。黄石舰可单独或协同其他兵力攻击水面舰艇、潜艇，具有较强的防空、反潜和对海作战能力。
            	"
